icao24,callsign,origin_country,time_position,last_contact,last_contact_utc,longitude,latitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,baro_altitude,squawk,category
4ca76a,RYR2324 ,Ireland,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-1.1384,48.5602,11917.68,False,241.3,350.06,0.0,11582.4,5366,1
461f53,FIN42   ,Finland,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,44.7085,41.5362,12527.28,False,211.46,275.72,0.0,12192.0,0131,6
a3dc5a,EDV5367 ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-83.3771,42.1614,403.86,False,70.45,28.81,-3.9,388.62,6520,4
a32b04,FFT3147 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-76.5614,39.9951,10858.5,False,183.95,238.84,0.0,10980.42,3055,1
ae6474,KING01  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-83.8379,30.2521,7917.18,False,191.06,126.9,-0.33,7620.0,0766,13
ae6472,KING98  ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-85.3789,31.215,7886.7,False,193.05,125.89,0.0,7620.0,1026,13
ae01cf,TOPCT32 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-102.3663,45.9312,9509.76,False,178.05,328.47,0.0,9136.38,4260,13
8964a1,UAE8T   ,United Arab Emirates,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,23.6549,40.1103,11148.06,False,277.64,136.43,0.0,10668.0,3016,6
ae6475,KING02  ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-82.6853,29.4966,7955.28,False,192.26,128.37,0.65,7620.0,1302,13
4ca6a6,RYR12JY ,Ireland,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-4.259,40.1354,11673.84,False,226.7,191.39,0.0,11277.6,7622,1
abc948,FDX5608 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,139.5971,34.2721,10355.58,False,274.16,76.88,-14.96,9730.74,4415,1
7c404c,MZI     ,Australia,1729029962.0,1729029962,2024-10-15 22:06:02+00:00,151.7009,-27.5771,2552.7,False,88.49,259.28,0.0,2377.44,4414,2
ab40ce,RPA5671 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-74.9557,40.8213,6339.84,False,169.88,261.99,9.43,6515.1,7157,1
c2b571,CFC2526 ,Canada,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-9.8064,51.0375,9220.2,False,171.33,90.86,0.65,9144.0,5175,13
7c531f,QFA60   ,Australia,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,150.9178,-32.5274,7010.4,False,207.5,171.59,-10.4,6758.94,2406,6
